"id","category","sortorder","fullname","shortname","idnumber","summary","summaryformat","format","showgrades","newsitems","startdate","enddate","marker","maxbytes","legacyfiles","showreports","visible","visibleold","groupmode","groupmodeforce","defaultgroupingid","lang","calendartype","theme","timecreated","timemodified","requested","enablecompletion","completionnotify","cacherev"
"196","22","60067","Numerical Methods Applied to Chemical Engineering","Numerical Methods Applied to Chemical Engineering",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"197","22","60066","Econometrics","Econometrics",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"198","22","60065","Fourier Analysis - Theory and Applications","Fourier Analysis - Theory and Applications",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1565629787"
"199","22","60064","Introduction to Manufacturing Systems","Introduction to Manufacturing Systems",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"200","22","60063","Political Science Laboratory","Political Science Laboratory",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"201","22","60062","Mathematics for Computer Science","Mathematics for Computer Science",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1566993976"
"202","22","60061","Random Matrix Theory and Its Applications","Random Matrix Theory and Its Applications",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"203","22","60060","System Optimization and Analysis for Manufacturing","System Optimization and Analysis for Manufacturing",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"204","22","60059","Infinite Random Matrix Theory","Infinite Random Matrix Theory",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"205","22","60058","Game Theory and Political Theory","Game Theory and Political Theory",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"206","22","60057","Time Series Analysis","Time Series Analysis",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"208","22","60056","New Econometric Methods","New Econometric Methods",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"209","22","60055","Nonlinear Econometric Analysis","Nonlinear Econometric Analysis",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"210","22","60054","Probability and Random Variables","Probability and Random Variables",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1567600504"
