"id","contenthash","pathnamehash","contextid","component","filearea","itemid","filepath","filename","userid","filesize","mimetype","status","source","author","license","timecreated","timemodified","sortorder","referencefileid"
"4691","d9cc19c3fa03923cf71c5d224b6ecd25a398e88d","d78285efb0de428bbe86a893f05238e571158c8a","5","user","draft","47425954","/","header.png","2","17110","image/png","0","O:8:""stdClass"":2:{s:6:""source"";s:10:""header.png"";s:8:""original"";s:212:""YTo2OntzOjk6ImNvbnRleHRpZCI7aToxO3M6OToiY29tcG9uZW50IjtzOjEwOiJjb3JlX2FkbWluIjtzOjY6Iml0ZW1pZCI7aTowO3M6ODoiZmlsZWFyZWEiO3M6NDoibG9nbyI7czo4OiJmaWxlcGF0aCI7czoxOiIvIjtzOjg6ImZpbGVuYW1lIjtzOjEwOiJoZWFkZXIucG5nIjt9"";}","Admin Admin","allrightsreserved","1560174233","1560174238","0",NULL
"4692","da39a3ee5e6b4b0d3255bfef95601890afd80709","a93653a60deda3cb77c0092ea6b2969ece09353e","5","user","draft","47425954","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560174239","1560174239","0",NULL
"4694","da39a3ee5e6b4b0d3255bfef95601890afd80709","00ad0c373ce97c3ae301bd00e4db82be0399de18","5","user","draft","955109806","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560174272","1560174272","0",NULL
"4696","da39a3ee5e6b4b0d3255bfef95601890afd80709","4cf8c63828978d84d094c65ea7696c9fa4b77a65","5","user","draft","556517923","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560174272","1560174272","0",NULL
"4697","5f47c85df2eb8af7031769469acf0e53e62475ca","2445a46436936c4dda14b9525748232634d39f40","5","user","draft","955109806","/","demo.jpg","2","7905","image/jpeg","0","O:8:""stdClass"":1:{s:6:""source"";s:8:""demo.jpg"";}","Admin Admin","allrightsreserved","1560174332","1560174332","0",NULL
"4698","406465d0e9bf005e051a9ae754322568ca80ac46","88a5cca13e567ab5742809e9494fb1166629633e","1","core","preview","0","/thumb/","5f47c85df2eb8af7031769469acf0e53e62475ca",NULL,"6923","image/png","0",NULL,NULL,NULL,"1560174332","1560174332","0",NULL
"4699","4cabcaea206e4452082fe9d714e4dfa6c5350f4f","46e1fbef0616ed6a9dfc75dd8d9da5ddba4c0f69","5","user","draft","556517923","/","slideshow1.png","2","303812","image/png","0","O:8:""stdClass"":1:{s:6:""source"";s:14:""slideshow1.png"";}","Admin Admin","allrightsreserved","1560174365","1560174365","0",NULL
"4701","4cabcaea206e4452082fe9d714e4dfa6c5350f4f","6f4fda03fdc8edb28417886f110a11c7951d5f88","1","theme_lambda","slide2image","0","/","slideshow1.png","2","303812","image/png","0","slideshow1.png","Admin Admin","allrightsreserved","1560174365","1560174372","0",NULL
"4702","5f47c85df2eb8af7031769469acf0e53e62475ca","d14dd10deacfaf7cac102df66d020ec41f440c7c","5","user","draft","306766278","/","demo.jpg","2","7905","image/jpeg","0","O:8:""stdClass"":2:{s:6:""source"";s:8:""demo.jpg"";s:8:""original"";s:224:""YTo2OntzOjk6ImNvbnRleHRpZCI7aToxO3M6OToiY29tcG9uZW50IjtzOjEyOiJ0aGVtZV9sYW1iZGEiO3M6NjoiaXRlbWlkIjtpOjA7czo4OiJmaWxlYXJlYSI7czoxMToic2xpZGUxaW1hZ2UiO3M6ODoiZmlsZXBhdGgiO3M6MToiLyI7czo4OiJmaWxlbmFtZSI7czo4OiJkZW1vLmpwZyI7fQ=="";}","Admin Admin","allrightsreserved","1560174332","1560174372","0",NULL
"4703","da39a3ee5e6b4b0d3255bfef95601890afd80709","51db01c04c802720ed2c0e5e4209db037f5b0ca3","5","user","draft","306766278","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560174373","1560174373","0",NULL
"4704","4cabcaea206e4452082fe9d714e4dfa6c5350f4f","7855ec5e4c5301b0aec9c946abd57c3b3a0f0517","5","user","draft","902061564","/","slideshow1.png","2","303812","image/png","0","O:8:""stdClass"":2:{s:6:""source"";s:14:""slideshow1.png"";s:8:""original"";s:232:""YTo2OntzOjk6ImNvbnRleHRpZCI7aToxO3M6OToiY29tcG9uZW50IjtzOjEyOiJ0aGVtZV9sYW1iZGEiO3M6NjoiaXRlbWlkIjtpOjA7czo4OiJmaWxlYXJlYSI7czoxMToic2xpZGUyaW1hZ2UiO3M6ODoiZmlsZXBhdGgiO3M6MToiLyI7czo4OiJmaWxlbmFtZSI7czoxNDoic2xpZGVzaG93MS5wbmciO30="";}","Admin Admin","allrightsreserved","1560174365","1560174372","0",NULL
"4705","da39a3ee5e6b4b0d3255bfef95601890afd80709","5951a65178040e3c1b849976e42607a08eef97f6","5","user","draft","902061564","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560174373","1560174373","0",NULL
"4707","da39a3ee5e6b4b0d3255bfef95601890afd80709","51120dc7db84f73f6a59f851ea2faae129fc7439","5","user","draft","208808915","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560174514","1560174514","0",NULL
"4708","cac1946dc69e2158e68969fe424c8e6e7a6a88d3","94a73baa411274334466554f4328189a6f616af7","5","user","draft","208808915","/","header.png","2","17556","image/png","0","O:8:""stdClass"":1:{s:6:""source"";s:10:""header.png"";}","Admin Admin","allrightsreserved","1560174525","1560174525","0",NULL
"4709","913f460e19b566ff29b23007028393fbc8d1229d","0c484ad837e06d3477e7097a5c55010ea05df473","1","core","preview","0","/thumb/","cac1946dc69e2158e68969fe424c8e6e7a6a88d3",NULL,"3606","image/png","0",NULL,NULL,NULL,"1560174525","1560174525","0",NULL
"4711","cac1946dc69e2158e68969fe424c8e6e7a6a88d3","51022bd2d85eff47258c599be98a96a4676d1aff","5","user","draft","405097662","/","header.png","2","17556","image/png","0","O:8:""stdClass"":2:{s:6:""source"";s:10:""header.png"";s:8:""original"";s:212:""YTo2OntzOjk6ImNvbnRleHRpZCI7aToxO3M6OToiY29tcG9uZW50IjtzOjEwOiJjb3JlX2FkbWluIjtzOjY6Iml0ZW1pZCI7aTowO3M6ODoiZmlsZWFyZWEiO3M6NDoibG9nbyI7czo4OiJmaWxlcGF0aCI7czoxOiIvIjtzOjg6ImZpbGVuYW1lIjtzOjEwOiJoZWFkZXIucG5nIjt9"";}","Admin Admin","allrightsreserved","1560174525","1560174528","0",NULL
"4712","da39a3ee5e6b4b0d3255bfef95601890afd80709","e825f7b6480aae4d826aa7c71ab0a007b2289ff0","5","user","draft","405097662","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560174529","1560174529","0",NULL
"4713","cac1946dc69e2158e68969fe424c8e6e7a6a88d3","328db97150103ef467a456e0db7303470ede4e73","5","user","draft","658801630","/","header.png","2","17556","image/png","0","O:8:""stdClass"":2:{s:6:""source"";s:10:""header.png"";s:8:""original"";s:212:""YTo2OntzOjk6ImNvbnRleHRpZCI7aToxO3M6OToiY29tcG9uZW50IjtzOjEwOiJjb3JlX2FkbWluIjtzOjY6Iml0ZW1pZCI7aTowO3M6ODoiZmlsZWFyZWEiO3M6NDoibG9nbyI7czo4OiJmaWxlcGF0aCI7czoxOiIvIjtzOjg6ImZpbGVuYW1lIjtzOjEwOiJoZWFkZXIucG5nIjt9"";}","Admin Admin","allrightsreserved","1560174525","1560174528","0",NULL
"4714","da39a3ee5e6b4b0d3255bfef95601890afd80709","919b35198af728eaa3fe89a3dd958369fab9925b","5","user","draft","658801630","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560174538","1560174538","0",NULL
