"id_section","name","summary","keywords"
"2070","''Large sample theory, asymptotic theory, discrete choice, censoring, and sample selection''",,NULL
"2071","''Bootstrap, subsampling, and finite-sample methods''",,NULL
"2072","''Quantile regression (QR) and distributional methods''",,NULL
"2073","''Bayesian and quasi-Bayesian methods''",,NULL
"2074","''GMM: identification, estimation, testing, bias, selecting moments''",,NULL
"2075","''Nonparametric estimation''",,NULL
"2076","''GMM: identification, estimation, testing, bias, selecting moments''",,NULL
"2077","''Treatment Effects''",,NULL
"2078","''Models in Panel Data''",,NULL
"10159",NULL,,NULL
"159","''I.B. Nonlinear Diffusion''",,NULL
"160","''I.C. First Passage and Exploration''",,NULL
"161","''II. Anomalous Diffusion''",,NULL
"163","''II.B. Continuous-Time Random Walks''",,NULL
"12083",NULL,,NULL
"2083","''Combinatorial Analysis''",,NULL
"2084","''Axioms of Probability''",,NULL
"2085","''Conditional Probability and Indipendace''",,NULL
"2086","''Random Variables''",,NULL
"2087","''Continuous Random Variables''",,NULL
"2088","''Jointly Distributed Random Variables''",,NULL
"2089","''Propriety of Expectation''",,NULL
"2090","''Limit Theorems''",,NULL
"2091","''Additional Topics in Probability''",,NULL
"12092",NULL,,NULL
"2092","''Review of basic probabilistic concepts''",,NULL
"2093","''Large deviations theory''",,NULL
"2094","''Brownian motion theory, Martingale theory''",,NULL
"2095","''Weak convergence theory and applications''",,NULL
"12096",NULL,,NULL
"2096","''Measure Theory''",,NULL
"2097","''Laws of Large Numbers''",,NULL
"2098","''Central Limit Theorems''",,NULL
"2099","''Martingales''",,NULL
"2100","''Brownian Motion''",,NULL
"11133",NULL,,NULL
"1133","''Module 1''",,NULL
"1134","''Module 2''",,NULL
"1135","''Module 3''",,NULL
"10172",NULL,,NULL
"172","''Discrete time: deterministic models''",,NULL
"173","''Discrete time: stochastic models''",,NULL
"174","''Continuous time''",,NULL
"11136",NULL,,NULL
"1136","''Probability and Random Variables: A Review ''",,NULL
"1137","''Mathematical Description of Random Signals''",,NULL
"1138","''Response of linear Systems to Random Inputs''",,NULL
"1139","''Wiener Filtering''",,NULL
"1140","''The Discrete Kalman Filter, State-Space Modeling, Simulation''",,NULL
"1141","''The Continuous Kalman Filter''",,NULL
"1142","''Prediction, Applications, and More Basics on Discrete Kalman Filtering''",,NULL
"11143",NULL,,NULL
"1143","''Introduction''",,NULL
"1144","''Qualifying Networks''",,NULL
"1145","''Social Networks''",,NULL
"1146","''Networks, Complexity and Economic Development''",,NULL
"1147","''Evolution and how it can help us understand our world''",,NULL
"1148","''Other Topics in Complexity Science''",,NULL
"1149","''Topic to be determined based on progression of class''",,NULL
"10179",NULL,,NULL
"179","''Infinite Horizon ProblemsÃ¢ÂÂSimple (Volume 1, Chapter 7)''",,NULL
"180","''Infinite Horizon ProblemsÃ¢ÂÂAdvanced (Volume 2)''",,NULL
"10185",NULL,,NULL
"185","''Week 2''",,NULL
"186","''Week 3''",,NULL
"187","''Week 4''",,NULL
"188","''Week 5''",,NULL
"189","''Week 6''",,NULL
"190","''Week 7''",,NULL
"191","''Week 8''",,NULL
"192","''Week 9''",,NULL
"193","''Week 10''",,NULL
"194","''Week 11''",,NULL
"195","''Week 12''",,NULL
"196","''Week 13''",,NULL
"197","''Week 14''",,NULL
"198","''Week 15''",,NULL
"10201",NULL,,NULL
"201","''Week 2''",,NULL
"202","''Week 3''",,NULL
"203","''Week 4''",,NULL
"204","''Week 5''",,NULL
"205","''Week 6''",,NULL
"206","''Week 7''",,NULL
"207","''Week 8''",,NULL
"208","''Week 9''",,NULL
"209","''Week 10''",,NULL
"210","''Week 11''",,NULL
"211","''Week 12''",,NULL
"212","''Week 13''",,NULL
"213","''Week 14''",,NULL
"12101",NULL,,NULL
"2101","''Events and their probabilities''",,NULL
"2102","''Random variables and their distributions''",,NULL
"2103","''Generating Functions and their applications''",,NULL
"2104","''Markov Chains''",,NULL
"12105",NULL,,NULL
"2105","''Module 1''",,NULL
"2106","''Module 2''",,NULL
"2107","''Module 3''",,NULL
"2108","''Module 4''",,NULL
"2109","''Module 5''",,NULL
"12110",NULL,,NULL
"2110","''Introduction''",,NULL
"2111","''Analysis of Variance''",,NULL
"2112","''Constructing Orthogonal Array''",,NULL
"2113","''Design and Systems''",,NULL
"30048",NULL,,NULL
"30049",NULL,,NULL
"30050",NULL,,NULL
"30051",NULL,,NULL
"30052",NULL,,NULL
"30053",NULL,,NULL
"30054",NULL,,NULL
"30055",NULL,,NULL
"30056",NULL,,NULL
"30057",NULL,,NULL
"30058",NULL,,NULL
"30059",NULL,,NULL
"30060","Mod1","Mod1",NULL
